Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Bridgeway Family Centre,1625,BFC - South Common Community Centre,Peel,Mississauga,L5L 3H7,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1626,BFC - Streetsville,Peel,Mississauga,L5M 1K8,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1627,BFC - Chapters,Peel,Brampton,L6V 4K2,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1628,BFC - Four Corners Library,Peel,Brampton,L6W 2A8,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1629,BFC - Heart Lake,Peel,Brampton,L6Z 1Y4,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1630,BFC - Brian Fleming Public School,Peel,Mississauga,L4X 2M2,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1631,BFC - Castlebrook,Peel,Mississauga,L5B 4B5,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1632,BFC - Four Corners Health Centre,Peel,Mississauga,L4T 4J1,,Inactive/New,Yes,0.00,0.00,
Learning Jungle Durham,1634,Learning Jungle - Whitby,Durham,Whitby,L1N 2K6,2025-01-03,Dormant 4,Yes,0.00,143.17,
Mini-Skool - A Childs Place Inc.,1635,Mini-Skool 106B,Peel,Brampton,L6T 2T5,2023-07-27,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1637,BFC - Tom Chater,Peel,Mississauga,L5L 4Z6,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1638,BFC - Kidnetix,Peel,Mississauga,L7A 1A5,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1639,BFC - Massey Street Public School,Peel,Brampton,L6S 3A3,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1640,BFC - Morton Way Public School,Peel,Brampton,L6Y 2P8,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1641,BFC - Orenda Court,Peel,Brampton,L6W 3N2,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1642,BFC - Rose Theatre,Peel,Brampton,L6V 0A3,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1643,BFC - Sir Wilfrid Laurier Public School,Peel,Brampton,L6W 2L8,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1644,BFC - St Cecilia,Peel,Brampton,L6V 4L5,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1645,BFC - Angelas Place,Peel,Mississauga,L5R 4J9,2023-04-27,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1646,BFC - John Fraser School,Peel,Mississauga,L5M 5H6,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1647,BFC - St. Therese of the Child Jesus School,Peel,Mississauga,L5N 6X7,,Inactive/New,Yes,0.00,0.00,
Akal Child Care Inc,1648,Akal Child Care,Peel,Brampton,L6P 2P7,,Inactive/New,No,0.00,0.00,
Wee Leprechauns Child Care Centre Ltd.,1651,Wee Leprechauns Child Care Centre Ltd,Toronto,North York,M3B 2Y8,2025-05-16,Active,No,52.38,237.59,
Bridgeway Family Centre,1655,BFC - Fairview,Peel,Mississauga,L5B 3X9,,Inactive/New,Yes,0.00,0.00,
Network Child Care Services,1657,Network - Ossington Avenue North Early Years Learning & Child Care Centre (Group),Toronto,Toronto,M6G3T9,2024-08-13,Dormant 4,Yes,0.00,7.67,
Dalemount,1658,Dalemount Child Care,Toronto,Toronto,M6B4L5,2023-08-18,Inactive/New,No,0.00,0.00,
Ma Petite Maison,1660,Ma Petite Maison,Peel,Mississauga,L5M 1M2,2024-06-10,Dormant 4,No,0.00,49.50,
Northwood Montessori Plus - Toronto,1661,Northwood Montessori - St. Angus Campus,Toronto,North York,M2M2T2,,Inactive/New,No,0.00,0.00,
Little Learners Academy Inc.,1664,Little Learners Academy Inc.,Toronto,Toronto,M6S3Z2,,Inactive/New,No,0.00,0.00,
Park Lawn Preschool Inc.,1671,Humber Bay Child Care Centres,Toronto,Etobicoke,M8Y1T3,,Inactive/New,No,0.00,0.00,
Native Child - Toronto,1673,Native Child - Reclaiming Our Minds,Toronto,Toronto,M5G1K2,,Inactive/New,Yes,0.00,0.00,
Polka Dot Preschool,1674,Polka Dot Preschool,York Region,Thornhill,L4J 1G5,2024-09-27,Dormant 4,No,0.00,142.58,
Caring For Kids,1675,Caring For Kids - The Centre,Peel,Mississauga,L5G 4N4,,Inactive/New,No,0.00,0.00,
Bridgeway Family Centre,1676,BFC - Norton Lake,Peel,Brampton,L6T 4E2,,Inactive/New,Yes,0.00,0.00,
Sunnybrook Creche,1677,Sunnybrook Creche,Toronto,Toronto,M4N 3M5,2025-04-03,Dormant 1,No,16.61,70.83,
Bridgeway Family Centre,1683,BFC - Fair Oaks,Peel,Brampton,L6Y 4W9,,Inactive/New,Yes,0.00,0.00,
Little Bloomers Child Care Centre,1691,Little Bloomers Child Care Centre,Peel,Brampton,L6Y 1M4,2024-04-01,Dormant 4,No,0.00,0.00,
Kids and Company Ltd. - Halton,1696,Kids and Company - Burloak,Halton,Burlington,L7L6B2,,Inactive/New,Yes,0.00,0.00,
Absolute Angels,1697,Absolute Angels Child Care Centre ,Peel,Brampton,L7A 0G2,2025-01-06,Dormant 4,No,0.00,116.75,
Absolute Angels,1698,Absolute Angels Child Care Centre II,Peel,Brampton,L7A 3A4,2025-01-15,Dormant 4,No,0.00,76.50,
Native Child - Toronto,1701,Native Child and Family Service- Strengthen Family,Toronto,Toronto,M5G1K2,,Inactive/New,Yes,0.00,0.00,
Network Child Care Services,1702,Just Kids Childcare Services,Toronto,North York,M6M3W7,2025-04-15,Dormant 1,Yes,13.84,42.67,
Syme Woolner Neighbours & Family Centre,1705,Syme Woolner Neighbours & Family Centre,Toronto,Toronto,M6N 1T6,2024-04-16,Dormant 4,No,0.00,0.00,
The Neighbourhood Group Community Services (SS),1712,King Edward Child Care,Toronto,Toronto,M5S 2P1,2025-03-25,Dormant 1,Yes,22.00,87.08,
The Neighbourhood Group Community Services (SS),1713,Bellevue,Toronto,Toronto,M5T 2N8,,Inactive/New,Yes,0.00,0.00,
The Neighbourhood Group Community Services,1714,The Neighbourhood Group Waterfront Child Care Centre,Toronto,Toronto,M5V 2N2,2025-05-12,Active,Yes,28.00,136.75,
The Neighbourhood Group Community Services (SS),1715,Lord Lansdowne,Toronto,Toronto,M5S 2K2,,Inactive/New,Yes,0.00,0.00,
Willowbrae Academy - Toronto,1716,Willowbrae Academy - Etobicoke,Toronto,Etobicoke,M9A1B6,,Inactive/New,Yes,0.00,0.00,
Makom Afterschool,1717,Makom Afterschool - Palmerston,Toronto,Toronto,M6G2R7,,Inactive/New,No,0.00,0.00,
Bridgeway Family Centre,1721,BFC - Grace Place,Peel,Brampton,L6V 1N9,,Inactive/New,Yes,0.00,0.00,
The Salvation Army,1722,Salvation Army Erin Mills Day Care Centre,Toronto,Mississauga,L5L 1V3,,Inactive/New,Yes,0.00,0.00,
Bridgeway Family Centre,1725,BFC - Horizon Jeunesse,Peel,Mississauga,L5J 3R2,,Inactive/New,Yes,0.00,0.00,
Northview Heights Early Learning Centre,1726,Northview Advent Child Care,Toronto,Toronto,M2R3Y3,2025-05-14,Active,No,83.81,965.93,
Reg. of Durham Children Services Division,1728,Ajax ELCC,Durham,Ajax,L1S 3K4,,Inactive/New,Yes,0.00,0.00,
Reg. of Durham Children Services Division,1729,Pickering ELCC,Durham,Pickering,L1W 1J4,,Inactive/New,Yes,0.00,0.00,
Cambridge Leaf Montessori School,1730,Cambridge Leaf Montessori School,Toronto,Scarborough,M1X 0C1,,Inactive/New,No,0.00,0.00,
The Neighbourhood Group Community Services (SS),1731,Our Lady of Lourdes,Toronto,Toronto,M4X1K2,,Inactive/New,Yes,0.00,0.00,
Clearview Child Care Centre,1732,Clearview Child Care Centre,Toronto,Toronto,M2B2W6,,Inactive/New,No,0.00,0.00,
Reg. of Durham Children Services Division,1733,Clara Hughes ELCC,Durham,Oshawa,L1H 2E7,,Inactive/New,Yes,0.00,0.00,
Reg. of Durham Children Services Division,1734,Whitby ELCC,Durham,Whitby,L1N 1S8,,Inactive/New,Yes,0.00,0.00,
Kensington Kids ELC,1738,Kensington Kids ELC,Toronto,Toronto,M5T1S9,2025-04-22,Active,No,12.00,19.00,
Simply Smart Child Care Centres - Peel,1744,SSCCC - Brampton,Peel,Brampton,L6Y 0C3,2023-08-31,Inactive/New,Yes,0.00,0.00,
Dearcroft Montessori School,1745,Dearcroft Montessori School,Halton,Oakville,L6J 1L3,,Inactive/New,No,0.00,0.00,
Social Enterprise for Canada,1750,Maple Leaf Public School - Newmarket,York Region,Newmarket,L3Y2Y7,2025-04-24,Active,Yes,5.79,89.08,
Royal Windsor Montessori,1751,Royal Windsor Montessori,Peel,Mississauga,L5J 1K5,,Inactive/New,No,0.00,0.00,
First Stage Child Care Centre,1752,First Stage Child Care Centre - Burnhamthorpe,Toronto,Etobicoke,M9B2C4,,Inactive/New,No,0.00,0.00,
Maple Leaf Montessori School,1753,Maple Leaf Montessori School,York Region,Woodbridge,L4L1W6,,Inactive/New,No,0.00,0.00,
Bridgeway Family Centre,1757,BFC - Bramalea,Peel,Brampton,L6T 3H9,,Inactive/New,Yes,0.00,0.00,
ABC Montessori,1758,Matheson - Elementary,Peel,Mississauga,L4Z 1X8,2025-02-21,Dormant 2,No,47.50,54.25,
Two Short Storeys,1759,Two Short Storeys,Toronto,Toronto,M4K 2N1,,Inactive/New,No,0.00,0.00,
Fun to Learn Montessori,1760,Erindale Campus,Peel,Mississauga,L5C 1Y2,,Inactive/New,No,0.00,0.00,
Munns Child Care Centre Inc.,1762,Munns Child Care - Iroquois Ridge,Halton,Oakville,L6H5M1,,Inactive/New,No,0.00,0.00,
Four Corners Health Centre,1765,Westwood Square,Peel,Mississauga,L4T2T9,,Inactive/New,No,0.00,0.00,
Bramalea CHC,1766,Bramalea CHC,Peel,Brampton,L6T 3J1,,Inactive/New,No,0.00,0.00,
Garderie Rayon de Soleil,1767,Garderie Rayon de Soleil,Toronto,Toronto,M3A2W1,,Inactive/New,No,0.00,0.00,
Bridgeway Family Centre,1770,BFC - Garthwood,Peel,Mississauga,L5L 5G2,,Inactive/New,Yes,0.00,0.00,
Native Child - Toronto,1771,Native Child and Family - Ontario Early Years,Toronto,Toronto,M5G1K2,2024-05-10,Dormant 4,Yes,0.00,12.50,
Native Child - York,1771,Native Child - Mount Dennis EarlyON Centre,Toronto,Toronto,M6M 4R3,2024-05-10,Dormant 4,Yes,0.00,12.50,
Green Party of Ontario,1772,Green Party of Ontario,Toronto,Toronto,M4Y2T8,,Inactive/New,No,0.00,0.00,
 Sunshine Childcare ,1773,Sunshine Childcare - Simcoe,Toronto,Toronto,M1E 1A3,,Inactive/New,No,0.00,0.00,
The Neighbourhood Group Community Services (SS),1774,Canoe Landing,Toronto,Toronto,M5V 3Y2,2025-03-31,Dormant 1,Yes,75.25,391.25,
LoveView Early Learning,1777,LoveView Early Learning,York Region,Richmond Hill,L4S1L7,,Inactive/New,No,0.00,0.00,
LEF - Toronto,1782,LEF - St. Stephen,Toronto,Etobicoke,M9W 2H8,2025-02-14,Dormant 3,Yes,7.00,7.00,
FUN School,1785,FUN School,Peel,Mississauga,L5H 1C9,2025-05-15,Active,No,245.33,4428.68,
Active Kids Daycare,1791,Active Kids Daycare,Peel,Mississauga,L4W2W6,,Inactive/New,No,0.00,0.00,
Makom Afterschool,1792,Makom Afterschool - Winona Drive,Toronto,Toronto,M6G3S8,,Inactive/New,No,0.00,0.00,
Macaulay Child Development Centre - Toronto,1793,Macaulay(Caledonia) Child Development Centre,Toronto,Toronto,M6E4T5,,Inactive/New,Yes,0.00,0.00,
First Stage Child Care Centre,1796,First Stage CCC - High Field,Toronto,Toronto,M9V2C9,,Inactive/New,No,0.00,0.00,
St. Hilarys Community Care Centres Inc.,1798,St. Hilarys Day Care Centre,Peel,Mississauga,L5A 2E6,,Inactive/New,No,0.00,0.00,
St. Gabriel Child Care Centres of Woodbridge,1805,St. Gabriel Child Care - St. Margaret Marys,York Region,Woodbridge,L4L 2W8,,Inactive/New,Yes,0.00,0.00,
St. Gabriel Child Care Centres of Woodbridge,1806,St. Gabriel Child Care - St. Gregorys B & A,York Region,Woodbridge,L4L 6Z6,,Inactive/New,Yes,0.00,0.00,
The Clover School,1807,The Clover School - Cranbrooke Site,Toronto,Toronto,M6A2X9,,Inactive/New,No,0.00,0.00,
HMC Connections,1813,HMC - Oakville (Head Office),Halton,Oakville,L6L 2X4,,Inactive/New,No,0.00,0.00,
Bloor West Nursery School,1820,Bloor West Nursery School,Toronto,Toronto,M6S 2Y8,,Inactive/New,No,0.00,0.00,
Tiny Treasure Montessori,1825,Tiny Treasure Montessori,Toronto,Etobicoke,M9C 2Y9,,Inactive/New,No,0.00,0.00,
First Foundations Childrens Academy,1830,First Foundations Childrens Academy,York Region,Maple,L6A 1S2,,Inactive/New,No,0.00,0.00,
Junction Daycare Centre,1835,Junction Daycare Centre,Toronto,Toronto,M6P1R3,2025-05-21,Active,No,51.17,905.91,
Childventures Early Learning Academy,1840,Childventures - Mighty Kids - Gerrard,Toronto,Toronto,M4M 1Y7,2025-01-28,Dormant 3,Yes,0.00,29.50,
NATIVE CHILD AND FAMILY SERVICES OF TORONTO,1845,Native Child and Family Services - 156 Galloway,Toronto,Toronto,M1E 1K2,2025-04-11,Dormant 1,Yes,5.08,111.83,
Family Tree Childcare Centre,1850,Family Tree Childcare Centre,Peel,Bolton,L7E 4E5,,Inactive/New,No,0.00,0.00,
NATIVE CHILD AND FAMILY SERVICES OF TORONTO,1855,Native Child and Family Services - Shaawnong Aboriginal Head Start,Toronto,Toronto,M4M1R4,2025-05-20,Active,Yes,15.63,104.92,
Blaisdale Montessori School,1860,Bowmanville School,Durham,Bowmanville,L1C 3Y9,,Inactive/New,No,0.00,0.00,
Blaisdale Montessori School,1865,Toynevale Pickering Campus,Durham,Pickering,L1W 2G9 ,,Inactive/New,No,0.00,0.00,
Macaulay Child Development Centre - York,1870,St. John the Evangelist Child Care Centre,York Region,York,M9N 2B4,2025-05-09,Active,Yes,0.00,0.00,
Villa Charities ,1875,Casa Del Zotto Children's Centre,Toronto,North York,M6B 3T5,2023-02-10,Inactive/New,Yes,0.00,0.00,
Time For Play,1880,Time For Play,Toronto,Toronto,M6P 3E3,,Inactive/New,No,0.00,0.00,
Building Blocks Montessori,1885,Building Blocks Montessori,Halton,Milton,L9T 4A4,,Inactive/New,No,0.00,0.00,
Mini-Skool - A Childs Place Inc.,1890,Mini-Skool - Cawthra,Peel,Mississauga,L5A 2X4,2025-03-31,Dormant 1,Yes,77.96,791.23,
Macaulay Child Development Centre - Toronto,1895,Macaulay (Marlee) Child Development Centre,Toronto,Toronto,M6B 4B6,2022-11-04,Inactive/New,Yes,0.00,0.00,
Childventures Early Learning Academy,1905,Childventures - Mighty Kids - Verral,Toronto,Toronto,M4M 2R2,2025-01-29,Dormant 3,Yes,0.00,45.75,
Petite Luminaries Childcare,1910,Petite Luminaries Childcare,Toronto,Toronto,M2H 3N5,,Inactive/New,No,0.00,0.00,
Villa Charities ,1915,Regina Mundi Catholic School,Toronto,North York,M6B 2P9,,Inactive/New,Yes,0.00,0.00,
Macaulay Child Development Centre - York,1920,Macaulay CDC - Keelesdale Child Care,York Region,York,M6M 4G9,,Inactive/New,Yes,0.00,0.00,
Villa Charities ,1925,St Charles School,Toronto,North York,M6B 2W1,,Inactive/New,Yes,0.00,0.00,
Mini-Skool - A Childs Place Inc.,1930,Mini-Skool - Bromsgrove,Peel,Mississauga,L5J 1L8,2025-04-24,Active,Yes,8.00,23.00,
Dandylion Child Care Centre,1935,Dandylion Child Care Centre,Toronto,Toronto,M4J 3N7,2025-05-30,Active,No,95.11,1212.83,
Givins Shaw School Community Daycare,1940,Givins Shaw School Community Daycare,Toronto,Toronto,M6J 2X5,2025-04-03,Dormant 1,No,51.86,1102.66,
Montessori Country School,1945,Montessori Country School - Milton,Halton,Milton,L9T 2X3,2025-05-22,Active,No,179.28,696.25,
Montessori Country School - York,1946,Montessori Country School - Nobleton,York Region,Nobleton,L0G 1N0,2025-05-30,Active,No,278.45,2524.42,
Macaulay Child Development Centre - Toronto,1950,Macaulay CDC - St. Andre Catholic School,Toronto,Toronto,M3L 1C9,,Inactive/New,Yes,0.00,0.00,
Childventures Early Learning Academy,1955,Childventures Early Learning Centre - Milton,Halton,Milton,L9T 6P4,2025-03-07,Dormant 2,Yes,64.21,1282.29,
Apple Jacks Preschool,1960,Apple Jacks Preschool,Toronto,Toronto,M4E 1Y3,,Inactive/New,No,0.00,0.00,
Dandylion Child Care Centre,1965,Dandylion Child Care Centre - Donlands ,Toronto,Toronto,M4J 3N7,2025-05-09,Active,No,50.83,709.17,
KVU Inc.,1970,Viva Kids Academy,Toronto,Toronto,M4N 2M9,2025-02-03,Dormant 3,No,4.00,28.75,
Shadow Lake Centre ,1980,Shadow Lake Centre ,York Region,Stouffville,L4A 7X3,,Inactive/New,No,0.00,0.00,
A & A Daycare Centre,1995,A & A Daycare Centre,Toronto,Scarborough,M1V 5B5,2025-05-12,Active,No,48.25,548.41,
"Umbrella Central Day Care
Services Inc.",2000,"Queen Elizabeth School Age & Full Day Program
Program",Durham,Oshawa,L1G 4X1,2023-05-17,Inactive/New,Yes,0.00,0.00,
"Umbrella Central Day Care
Services Inc.",2005,Bellwood Before and After School Age Program,Durham,Whitby,L1N 8M4,2022-12-12,Inactive/New,Yes,0.00,0.00,
"Umbrella Central Day Care
Services Inc.",2010,Gandy Before and After School Age Program,Durham,Pickering,L1V 3R2,2023-04-21,Inactive/New,Yes,0.00,0.00,
Cardinal Carter Child Care,2015,Cardinal Carter Child Care,York Region,Aurora,L4G 0P9,,Inactive/New,No,0.00,0.00,
Olivet New Church and School,2020,Olivet New Church and School,Toronto,Etobicoke,M9B 1Z6,,Inactive/New,No,0.00,0.00,
Milestone Montessori,2025,Milestone Montessori,Durham,Ajax,L1Z 0K5,2023-04-24,Inactive/New,No,0.00,0.00,
Blaisdale Montessori School,2030,Oshawa Campus,Durham,Oshawa,L1G 4W3,,Inactive/New,No,0.00,0.00,
Grace Church on the Hill Child Care Centre,2035,Grace Church on the Hill Child Care Centre,Toronto,Toronto,M4V 1X4,2022-09-09,Inactive/New,No,0.00,0.00,
EYET Early Learning Centre,2040,Tom's Place,Toronto,Toronto,M5A 3E5,2022-05-31,Inactive/New,Yes,0.00,0.00,
EYET,2045,Annie’s Place,Toronto,Scarborough,M4C 4Y9,2023-08-31,Inactive/New,Yes,0.00,0.00,
EYET Early Learning Centre,2050,Crescent Town Centre,Toronto,Toronto,M4C 5M1,,Inactive/New,Yes,0.00,0.00,
Shining Light Montessori,2060,Shining Light Montessori,York Region,Maple,L6A 4E1,2024-11-05,Dormant 4,No,0.00,5.00,
Native Child - Toronto,2065,Gizhaadaawgmik - Dundas,Toronto,Toronto,M4M1R4,2025-05-30,Active,Yes,187.44,1616.74,
Learning Jungle York,2070,Learning Jungle - Newmarket,York Region,Newmarket,L3Y 0A4,2025-05-16,Active,Yes,95.64,593.91,
Laugh & Learn Early Learning and Childcare Centre,2075,Laugh & Learn Early Learning and Childcare Centre,Peel,Brampton,L6T 5J6,2025-04-07,Dormant 1,No,3.00,6.00,
The Village Children's Programs,2080,St Joseph Early Learning Centre School Age Program,York Region,Markham,L6B 0J3,2023-08-03,Inactive/New,Yes,0.00,0.00,
Villa Charities ,2085,Columbus Early Learning - St. Raphael,Toronto,North York,M3M 2K2,,Inactive/New,Yes,0.00,0.00,
Little Leaf Daycare,2090,Little Leaf Daycare,Peel,Mississauga,L4Z 3P8,2025-04-01,Dormant 1,No,8.00,126.00,
Sunnylea Child Care Centre,2095,Sunnylea Child Care Centre,Toronto,Etobicoke,M8Y 2M2,2024-04-12,Dormant 4,No,0.00,0.00,
Reg. of Durham Children Services Division,2100,Edna Thomson ELCC,Durham,Bowmanville,L1C 3K2,,Inactive/New,Yes,0.00,0.00,
Casa Vera Montessori School,2105,Casa Vera Montessori School,Toronto,Toronto,M6M 3Y4,,Inactive/New,No,0.00,0.00,
Playtime Inc. Preschool,2110,Play Time Playground and Montessori Pre-School,Peel,Bolton,L7E 4K1,,Inactive/New,No,0.00,0.00,
Network Child Care Services -Toronto,2115,Network - Child's Nest Preschool Centre,Toronto,Toronto,M4J 2L1,2024-10-25,Dormant 4,Yes,0.00,85.00,
Kids Connect Daycare,2120,Kids Connect Daycare,Toronto,Toronto,M4E 2V8,2025-05-30,Active,No,280.89,2882.34,
Harmony Childcare Centre,2125,Harmony Childcare Centre,Toronto,Toronto,M6E 3K4,,Inactive/New,No,0.00,0.00,
COSTI - Toronto,2130,COSTI Best Western,Toronto,Toronto,M9W 5E7,,Inactive/New,Yes,0.00,0.00,
COSTI - Toronto,2135,COSTI Crowne Plaza - Joseph,Toronto,Toronto,M9W 6H5,,Inactive/New,Yes,0.00,0.00,
COSTI - Toronto,2135,COSTI Crowne Plaza - Dominic,Toronto,Toronto,M9W 6H5,,Inactive/New,Yes,0.00,0.00,
Withrow Childcare Centre,2140,Withrow Childcare Centre,Toronto,Toronto,M4K 1E5,,Inactive/New,No,0.00,0.00,
Network Child Care Services -Toronto,2145,Network - Holy Cross,Toronto,Toronto,M4J 3R7,2024-09-30,Dormant 4,Yes,0.00,70.50,
EYES Childcare Burlington,2150,EYES Childcare Burlington,Halton,Burlington,L7T 2E8,,Inactive/New,Yes,0.00,0.00,
Bennington Heights Child Care,2155,Bennington Heights Child Care,Toronto,Toronto,M4G 1B1,2025-05-12,Active,No,25.39,152.17,
Blaisdale Montessori School,2160,Westney Ajax Campus,Durham,Ajax,L1S 7J8,,Inactive/New,No,0.00,0.00,
COSTI - Toronto,2165,COSTI Crowne Plaza - Marjan,Toronto,Toronto,M9W 6H5,,Inactive/New,Yes,0.00,0.00,
Tender Years Child Care Inc.,2170,Tender Years Child Care 2,Durham,Ajax,L1Z 1S4,2025-02-24,Dormant 2,No,11.50,17.50,
Centered on Children Child Care Centre,2175,Centered on Children Child Care Centre,York Region,Woodbridge,L4L 0J6,2025-05-06,Active,No,123.00,510.25,
Toronto Woods Daycare,2180,Toronto Woods Daycare,Toronto,Toronto,M2N 5L3,2022-06-08,Inactive/New,No,0.00,0.00,
Early Learners’ Montessori School,2185,Early Learners’ Montessori School - Orangeville,Peel,Orangeville,L9W 4J5,,Inactive/New,No,0.00,0.00,
Early Learners’ Montessori School,2190,Early Learners’ Montessori School - Bolton,Peel,Bolton,L7E 4W8,,Inactive/New,No,0.00,0.00,
Kinderbrook Montessori,2195,Kinderbrook Montessori - Ajax,Durham,Ajax,L1S 6M5,2023-03-28,Inactive/New,No,0.00,0.00,
Sunnylea Cooperative Nursery School Inc.,2200,Sunnylea Cooperative Nursery School,Toronto,Etobicoke,M9A 3N5,2025-05-23,Active,No,34.45,296.17,
My Little Sand Castle Inc.,2205,My Little Sand Castle                                         ,Hamilton,Hamilton,L9C 7N4,2023-01-03,Inactive/New,No,0.00,0.00,
Curious Caterpillars,2210,Alphabet Station Childcare,Toronto,Toronto,M4E 1E7,2023-06-12,Inactive/New,No,0.00,0.00,
Midland Child Care Centre ,2215,Midland Child Care Centre ,Toronto,Scarborough,M1V 4S6,2025-04-23,Active,No,98.36,451.08,
The Little Campus Inc.,2220,The Little Campus Inc.,Toronto,Etobicoke,M8Y 3A5,2022-07-08,Inactive/New,No,0.00,0.00,
EYES Childcare Whitby,2225,EYES Childcare Whitby,Durham,Whitby,L1R 0H4,2022-07-08,Inactive/New,Yes,0.00,0.00,
Oakwood Childrens House,2230,Oakwood Childrens House,Toronto,Toronto,M6G 3S8,2025-03-26,Dormant 1,No,29.79,227.33,
Sunrise Montessori School,2235,Sunrise Montessori School,York Region,Markham,L3R 3J8,2022-07-25,Inactive/New,No,0.00,0.00,
Blooming Lives Montessori,2245,Blooming Lives Montessori,York Region,Markham,L3R 0K1,2024-04-03,Dormant 4,No,0.00,0.00,
Koala Kids Child Care Centre,2250,Koala Kids Child Care Centre,York Region,Vaughan,L4K 4V4,2022-09-02,Inactive/New,No,0.00,0.00,
First Foundations Childrens Academy - Toronto,2255,First Foundations - Cedarville,Toronto,Toronto,M6C 2E6,2022-09-16,Inactive/New,No,0.00,0.00,
Simply Smart Child Care Centres - Toronto,2260,Simply Smart Child Care Centres - Toronto,Toronto,Toronto,M6S 1P1,2024-04-19,Dormant 4,Yes,0.00,0.00,
Ridley Orchard School,2270,Ridley Orchard School,Toronto,Toronto,M5M 4A1,2022-10-21,Inactive/New,No,0.00,0.00,
Angelic Treasures Christian Daycare - York,2275,Angelic Treasures Christian Daycare - Newmarket,York Region,Newmarket,L3Y 2G5,2024-03-28,Dormant 4,No,0.00,0.00,
Canadian Mothercraft Society,2285,Canadian Mothercraft Society - Front Street,Toronto,Toronto,M5J 2S1,2023-12-14,Inactive/New,Yes,0.00,0.00,
Canadian Mothercraft Society,2290,Canadian Mothercraft Society - Heath Street,Toronto,Toronto,M4V 1T3,2024-02-08,Dormant 4,Yes,0.00,0.00,
Canadian Mothercraft Society,2295,Canadian Mothercraft Society - Avondale,Toronto,Toronto,M2N 2V4,2023-10-20,Inactive/New,Yes,0.00,0.00,
Canadian Mothercraft Society,2300,Canadian Mothercraft Society - Lillian Street,Toronto,Toronto,M4S 2H4,2023-12-13,Inactive/New,Yes,0.00,0.00,
Little Monkeys Childcare & Play Centre,2305,Little Monkeys Childcare & Play Centre,Ottawa,Ottawa,K1T 1N8,2025-05-12,Active,No,17.46,34.92,
Tikis Education and Child Care,2310,Tikis Education and Child Care,York Region,Concord,L4K 4R1,2022-11-02,Inactive/New,No,0.00,0.00,
Angelic Treasures Christian Daycare - Mississauga East,2315,Angelic Treasures Christian Daycare - Mississauga East,Peel,Mississauga,L4W 2W6,,Inactive/New,No,0.00,0.00,
Canadian Mothercraft Society,2320,Canadian Mothercraft Society - Trinity Square,Toronto,Toronto,M5G 1B1,,Inactive/New,Yes,0.00,0.00,
Charlotte Birchard Centres of Early Learning,2325,Westboro Children's Centre,Ottawa,Ottawa,K2C 2Y6,2025-05-23,Active,No,37.21,289.59,
Blaydon Community Day Care Inc.,2330,Blaydon Community Day Care,Toronto,Toronto,M3M 2C9,2025-03-14,Dormant 2,No,15.00,732.75,
CFEL,9991,CFEL - Birchmount Place,Toronto,Toronto,M1T 2M4,2025-05-23,Active,Yes,141.17,2956.18,Internal Centre (Foray owned)
CFEL,9992,CFEL - Cambridge Place,Toronto,Toronto,M1L 4P2,2025-05-30,Active,Yes,51.00,1174.58,Internal Centre (Foray owned)
CFEL,9993,CFEL - Denton Place,Toronto,Toronto,M1L 4P2,2025-05-23,Active,Yes,188.83,1725.65,Internal Centre (Foray owned)
CFEL,9994,CFEL - Dawes Road,Toronto,East York,M4B 2E6,2025-05-23,Active,Yes,149.22,1903.00,Internal Centre (Foray owned)
CFEL,9995,CFEL - Lori Gardens,Toronto,Toronto,M9M 2X2,2025-05-23,Active,Yes,153.42,2277.33,Internal Centre (Foray owned)
CFEL,9996,CFEL - Palisades,Toronto,Toronto,M3N 2Y9,2025-05-30,Active,Yes,342.31,3699.66,Internal Centre (Foray owned)
CFEL,9997,CFEL - Seneca Hill,Toronto,North York,M2J 4S7,2025-05-23,Active,Yes,323.67,3048.33,Internal Centre (Foray owned)
CFEL,9998,CFEL - Sandalwood,Toronto,Toronto,M3N 1M7,2025-05-30,Active,Yes,394.58,3214.57,Internal Centre (Foray owned)
CFEL,9999,CFEL - West Hill,Toronto,Toronto,M1E 2R4,2025-05-30,Active,Yes,115.19,1703.83,Internal Centre (Foray owned)
