Organization,Centre ID,Centre Name,Region,City,Postal Code,Last Order Date,Current Status,Multi-site,Monthly Usage,Annual Usage,Notes
Rosalie Hall Early Learning and Child Care Centre,224,Rosalie Hall Early Learning and Child Care Centre,Toronto,Scarborough,M1P 2T7,,Inactive/New,No,0.00,0.00,
West Prep Children's Centre of Toronto,229,West Prep Children's Centre of Toronto,Toronto,Toronto,M6C2J6,2025-05-30,Active,No,157.47,1971.17,
North Toronto Early Years Learn. Cen - Avenue Road,235,North Toronto Early Years Learn. Cen - Avenue Road,Toronto,Toronto,M5N 2E7,,Inactive/New,No,0.00,0.00,
Leaside Childrens House Montessori,240,Leaside Childrens House Montessori,Toronto,East York,M4G 1W5,2025-05-16,Active,No,45.00,496.58,
Cast For Kids Childcare Centre,241,Cast For Kids Childcare Centre,Toronto,North York,M3M 2W9,2024-03-07,Dormant 4,No,0.00,0.00,
Selwyn Child Care Centre,243,Selwyn Child Care Centre,Toronto,East York,M4B 2J9,2024-04-17,Dormant 4,No,0.00,0.00,
Calico Saints Child Care Centre,245,Calico Saints Child Care Centre,Toronto,North York,M3L1V5,2025-01-17,Dormant 4,No,0.00,577.33,
Runnymede Adventure Club,248,Runnymede Adventure Club,Toronto,Toronto,M6S 2Y7,2025-05-21,Active,No,38.39,227.17,
Fun to Learn Montessori,249,Argentia Road Campus,Peel,Mississauga,L5N 1P9,,Inactive/New,No,0.00,0.00,
Lescon Childcare Centre,250,Lescon Learners Childcare Centre,Toronto,North York,M2J2G6,2025-01-10,Dormant 4,No,0.00,268.50,
Ascot Avenue Community Daycare,252,Ascot Avenue Community Daycare,Toronto,Toronto,M6H 2J6,2025-05-09,Active,No,26.33,118.50,
Junior Scholars Preschool Inc.,257,Junior Scholars Preschool,Peel,Mississauga,L5J 1J1,,Inactive/New,No,0.00,0.00,
West End Parents Daycare,258,West End Parents Daycare,Toronto,Toronto,M6J3E5,,Inactive/New,No,0.00,0.00,
Gulfstream Day Care Centre,262,Gulfstream Day Care Centre,Toronto,North York,M9M1S3,2025-03-10,Dormant 2,No,7.00,7.00,
The Neighbourhood Group Community Services (CNH),263,Ontario Street,Toronto,Toronto,M5A 2V8,2022-10-06,Inactive/New,Yes,0.00,0.00,
